iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
JPN,Asia,Japan,2021-11-27,1726419.0,120.0,100.571,18354.0,1.0,1.571,13696.217,0.952,0.798,145.608,0.008,0.012,0.66,,,,,,,,,46526.0,26442460.0,209.776,0.369,39680.0,0.315,0.003,381.5,people tested,196576395.0,99653851.0,96922544.0,,135940.0,155171.0,155.95,79.06,76.89,,1231.0,31852.0,0.025,47.22,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
JEY,Europe,Jersey,2021-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183066.0,79571.0,75089.0,,,512.0,181.12,78.73,74.29,,5066.0,32.0,0.032,,101073.0,,,,,,,,,,,,,,,,,,
JOR,Asia,Jordan,2021-11-27,939293.0,2674.0,4003.286,11515.0,29.0,24.0,91468.594,260.395,389.841,1121.334,2.824,2.337,1.31,,,,,,,,,49281.0,11889329.0,1157.786,4.799,41877.0,4.078,0.101,9.9,tests performed,7836747.0,4114712.0,3722035.0,,18507.0,13506.0,76.31,40.07,36.25,,1315.0,5693.0,0.055,28.7,10269022.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,,,,
KAZ,Asia,Kazakhstan,2021-11-27,1052622.0,926.0,977.0,17765.0,0.0,20.0,55415.864,48.75,51.435,935.248,0.0,1.053,0.88,,,,,,,,,,,,,,,,,,16746560.0,8704029.0,8042531.0,,31518.0,28043.0,88.16,45.82,42.34,,1476.0,11866.0,0.062,71.3,18994958.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,,,,
KEN,Africa,Kenya,2021-11-27,254940.0,36.0,36.0,5333.0,0.0,1.143,4636.478,0.655,0.655,96.989,0.0,0.021,0.73,,,,,,,,,,,,,,,,,,6915627.0,4478196.0,2648391.0,,104584.0,80791.0,12.58,8.14,4.82,,1469.0,71918.0,0.131,32.41,54985702.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,
KIR,Oceania,Kiribati,2021-11-27,2.0,0.0,0.0,,,0.0,16.476,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,72912.0,57722.0,15190.0,,,363.0,60.07,47.55,12.51,,2990.0,176.0,0.145,22.22,121388.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,,,,
OWID_KOS,Europe,Kosovo,2021-11-27,161075.0,9.0,10.857,2983.0,0.0,0.143,90384.178,5.05,6.092,1673.854,0.0,0.08,0.86,,,,,,,,,1559.0,1308705.0,734.355,0.875,1482.0,0.832,0.007,140.2,tests performed,1609325.0,851075.0,758250.0,,1807.0,1422.0,90.3,47.76,42.55,,798.0,581.0,0.033,42.59,1782115.0,168.155,,,,9795.834,0.6,,,,,,,,,,,,
KWT,Asia,Kuwait,2021-11-27,413266.0,21.0,20.857,2465.0,0.0,0.143,95474.4,4.852,4.819,569.474,0.0,0.033,1.05,,,,,,,,,16241.0,5232329.0,1208.794,3.752,16856.0,3.894,0.001,907.7,tests performed,,,,,,,,,,,,,,51.85,4328553.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,,,,
KGZ,Asia,Kyrgyzstan,2021-11-27,183207.0,67.0,61.0,2740.0,3.0,2.857,27639.923,10.108,9.203,413.376,0.453,0.431,0.89,,,,,,,,,,,,,,,,,,1991733.0,1103737.0,883003.0,,4757.0,9850.0,30.05,16.65,13.32,,1486.0,4667.0,0.07,43.52,6628347.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,,,,
LAO,Asia,Laos,2021-11-27,70323.0,1491.0,1297.714,154.0,7.0,4.0,9529.691,202.05,175.857,20.869,0.949,0.542,1.14,,,,,,,,,,817520.0,110.785,,5464.0,0.74,0.223,4.5,people tested,5830021.0,3744740.0,3099003.0,,,18536.0,79.0,50.75,42.0,,2512.0,18953.0,0.257,,7379358.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,,,,
