iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
MEX,North America,Mexico,2021-11-27,3879836.0,0.0,3000.714,293614.0,0.0,209.857,29784.814,0.0,23.036,2254.023,0.0,1.611,1.07,,,,,,,,,8232.0,11224763.0,86.171,0.063,11941.0,0.092,0.172,5.8,people tested,132097392.0,76480431.0,64830452.0,,221510.0,186798.0,101.41,58.71,49.77,,1434.0,99340.0,0.076,35.19,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,,,,
FSM,Oceania,Micronesia (country),2021-11-27,1.0,0.0,0.0,,,0.0,8.602,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62,,,,
MDA,Europe,Moldova,2021-11-27,362326.0,498.0,642.143,9054.0,32.0,36.429,90040.693,123.757,159.577,2249.986,7.952,9.053,0.83,,,,,,,,,,,,,,,,,,1607196.0,948882.0,926795.0,,4332.0,3322.0,39.94,23.58,23.03,,826.0,3062.0,0.076,29.63,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,,,
MCO,Europe,Monaco,2021-11-27,3705.0,0.0,21.857,36.0,0.0,0.0,93750.0,0.0,553.065,910.931,0.0,0.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,
MNG,Asia,Mongolia,2021-11-27,380945.0,620.0,508.286,1990.0,9.0,7.143,114422.569,186.226,152.671,597.726,2.703,2.145,0.86,,,,,,,,,7033.0,4407750.0,1323.934,2.112,5552.0,1.668,0.092,10.9,samples tested,4409480.0,2259763.0,2149717.0,,798.0,515.0,132.45,67.88,64.57,,155.0,153.0,0.005,37.04,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNE,Europe,Montenegro,2021-11-27,156608.0,340.0,306.286,2283.0,2.0,6.286,249355.546,541.357,487.677,3635.055,3.184,10.008,0.77,,,,,,,,,,,,,,,,,,527034.0,272965.0,254069.0,,1373.0,896.0,83.92,43.46,40.45,,1427.0,504.0,0.08,,628051.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,,,,
MAR,Africa,Morocco,2021-11-27,949648.0,116.0,116.857,14774.0,1.0,1.857,25429.198,3.106,3.129,395.611,0.027,0.05,0.89,,,,,,,,,12331.0,9406455.0,251.881,0.33,10797.0,0.289,0.01,101.9,people tested,48719196.0,24498454.0,22692532.0,,,22589.0,130.46,65.6,60.76,,605.0,3031.0,0.008,30.56,37344787.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,,,,
MOZ,Africa,Mozambique,2021-11-27,151515.0,0.0,3.857,1940.0,0.0,0.571,4710.841,0.0,0.12,60.318,0.0,0.018,0.81,,,,,,,,,,969546.0,30.145,,1161.0,0.036,0.005,213.9,units unclear,9706476.0,6257220.0,3449256.0,,,142029.0,30.18,19.45,10.72,,4416.0,67214.0,0.209,48.15,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,,,,
MMR,Asia,Myanmar,2021-11-27,521211.0,505.0,545.143,19079.0,12.0,9.714,9510.106,9.214,9.947,348.119,0.219,0.177,0.83,,,,,,,,,,,,,,,,,,25869175.0,15390873.0,10478302.0,,,230773.0,47.2,28.08,19.12,,4211.0,99752.0,0.182,64.81,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,,,,
NAM,Africa,Namibia,2021-11-27,129160.0,9.0,12.0,3573.0,1.0,0.857,49919.918,3.478,4.638,1380.953,0.386,0.331,0.9,,,,,,,,,1056.0,781090.0,301.889,0.408,1320.0,0.51,0.004,243.1,samples tested,649840.0,355254.0,294586.0,,,3091.0,25.12,13.73,11.39,,1195.0,1378.0,0.053,32.41,2587344.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,
NPL,Asia,Nepal,2021-11-27,820724.0,197.0,276.714,11521.0,3.0,3.714,27657.16,6.639,9.325,388.24,0.101,0.125,0.92,,,,,,,,,7104.0,4591660.0,154.732,0.239,7587.0,0.256,0.037,26.8,tests performed,17196377.0,9206187.0,7990190.0,,,100096.0,57.95,31.02,26.93,,3373.0,44816.0,0.151,57.87,29674920.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,,,,
NLD,Europe,Netherlands,2021-11-27,2618592.0,22071.0,22313.286,19721.0,55.0,45.857,152482.249,1285.208,1299.317,1148.366,3.203,2.67,1.16,466.0,27.135,1850.0,107.727,265.376,15.453,1786.605,104.035,,15418081.0,897.804,,47737.0,2.78,0.158,6.3,people tested,24487879.0,13220692.0,12663364.0,,,15059.0,142.59,76.98,73.74,,877.0,7026.0,0.041,52.78,17173094.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,22695.8,7.83,28.93,1321.591
NCL,Oceania,New Caledonia,2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347129.0,179591.0,167538.0,,,618.0,120.44,62.31,58.13,,2144.0,199.0,0.069,,288217.0,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,
NZL,Oceania,New Zealand,2021-11-27,11261.0,146.0,184.0,43.0,1.0,0.571,2198.298,28.501,35.919,8.394,0.195,0.112,1.09,,,,,,,,,31620.0,4843960.0,945.606,6.173,30188.0,5.893,0.006,164.1,tests performed,7462890.0,3878887.0,3584003.0,,18880.0,17244.0,145.69,75.72,69.96,,3366.0,5671.0,0.111,78.24,5122600.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,,,,
NIC,North America,Nicaragua,2021-11-27,17152.0,0.0,18.429,212.0,0.0,0.143,2559.091,0.0,2.75,31.631,0.0,0.021,1.11,,,,,,,,,,,,,,,,,,6033123.0,3842428.0,2190695.0,,,311302.0,90.01,57.33,32.69,,46446.0,185228.0,2.764,8.33,6702379.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,,,,
NER,Africa,Niger,2021-11-27,6958.0,37.0,23.571,254.0,3.0,2.286,276.871,1.472,0.938,10.107,0.119,0.091,1.13,,,,,,,,,,,,,,,,,,963041.0,506083.0,456958.0,,,3719.0,3.83,2.01,1.82,,148.0,399.0,0.002,16.67,25130810.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,,,,
NGA,Africa,Nigeria,2021-11-27,213924.0,41.0,56.0,2975.0,0.0,0.286,1011.936,0.194,0.265,14.073,0.0,0.001,0.94,,,,,,,,,,3479682.0,16.46,,5644.0,0.027,0.01,95.9,samples tested,9640048.0,6183844.0,3456204.0,,,60004.0,4.56,2.93,1.63,,284.0,36326.0,0.017,38.89,211400704.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,,,,
OWID_NAM,,North America,2021-11-27,57719307.0,29545.0,80407.571,1164681.0,263.0,1077.286,96750.114,49.524,134.781,1952.259,0.441,1.806,,,,,,,,,,,,,,,,,,,739059518.0,382759284.0,325166083.0,40745864.0,544814.0,599810.0,123.88,64.16,54.5,6.83,1005.0,230534.0,0.039,,596581283.0,,,,,,,,,,,,,,,,,,
MKD,Europe,North Macedonia,2021-11-27,214676.0,463.0,406.429,7528.0,17.0,15.714,103077.745,222.312,195.149,3614.607,8.163,7.545,0.95,,,,,,,,,,1449839.0,696.147,,2390.0,1.148,0.171,5.9,tests performed,1675793.0,885888.0,789905.0,63137.0,,2806.0,80.46,42.54,37.93,3.03,1347.0,2185.0,0.105,,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,,,,
OWID_CYN,Asia,Northern Cyprus,2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617389.0,284357.0,275988.0,80243.0,,6011.0,161.52,74.39,72.2,20.99,15726.0,721.0,0.189,,,,,,,,,,,,,,,,,,,,
NOR,Europe,Norway,2021-11-27,259200.0,1891.0,2537.0,1050.0,0.0,7.286,47423.636,345.98,464.173,192.11,0.0,1.333,1.29,,,222.0,40.617,19.347,3.54,148.667,27.2,18243.0,8427646.0,1541.935,3.338,15947.0,2.918,,,people tested,8563552.0,4236469.0,3817702.0,509381.0,58746.0,28058.0,156.68,77.51,69.85,9.32,5134.0,1120.0,0.02,20.37,5465629.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,,,,
OWID_OCE,,Oceania,2021-11-27,306690.0,1381.0,1679.286,3276.0,5.0,16.143,7096.028,31.953,38.854,75.798,0.116,0.374,,,,,,,,,,,,,,,,,,,49640832.0,25615833.0,23613135.0,411864.0,128207.0,137420.0,114.86,59.27,54.63,0.95,3180.0,46890.0,0.108,,43219954.0,,,,,,,,,,,,,,,,,,
OMN,Asia,Oman,2021-11-27,304519.0,0.0,7.571,4113.0,0.0,0.0,58299.269,0.0,1.45,787.422,0.0,0.0,0.87,,,,,,,,,,,,,,,,,,5934585.0,3310409.0,2828176.0,,,7995.0,113.62,63.38,54.14,,1531.0,15770.0,0.302,39.81,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,,,,
PAK,Asia,Pakistan,2021-11-27,1284189.0,303.0,331.0,28709.0,5.0,7.143,5702.44,1.345,1.47,127.482,0.022,0.032,0.84,,,,,,,,,44598.0,21876689.0,97.143,0.198,38763.0,0.172,0.009,117.1,tests performed,122319215.0,79903178.0,49844419.0,,306991.0,267231.0,54.32,35.48,22.13,,1187.0,151144.0,0.067,31.94,225199929.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,
PLW,Oceania,Palau,2021-11-27,8.0,0.0,0.0,,,0.0,440.189,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18174.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,,,,
PSE,Asia,Palestine,2021-11-27,459479.0,0.0,218.429,4789.0,0.0,2.714,87976.348,0.0,41.822,916.949,0.0,0.52,1.04,,,,,,,,,3575.0,,,0.685,3045.0,0.583,0.07,14.4,tests performed,3024477.0,1910794.0,1365858.0,,,7128.0,57.91,36.59,26.15,,1365.0,3512.0,0.067,25.0,5222756.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,,,,
PAN,North America,Panama,2021-11-27,477306.0,210.0,210.143,7361.0,1.0,1.286,108934.602,47.928,47.96,1679.986,0.228,0.293,1.15,,,,,,,,,7700.0,4199210.0,958.377,1.757,6247.0,1.426,0.033,30.3,tests performed,5607412.0,3005441.0,2426073.0,175898.0,5493.0,7562.0,127.98,68.59,55.37,4.01,1726.0,1079.0,0.025,48.15,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
PNG,Oceania,Papua New Guinea,2021-11-27,34906.0,0.0,126.286,542.0,0.0,8.286,3827.83,0.0,13.849,59.436,0.0,0.909,0.95,,,,,,,,,,,,,,,,,,435991.0,254708.0,181283.0,,,5196.0,4.78,2.79,1.99,,570.0,2530.0,0.028,65.74,9119005.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,,,,
PRY,South America,Paraguay,2021-11-27,462605.0,0.0,58.143,16367.0,0.0,1.857,64075.901,0.0,8.053,2267.01,0.0,0.257,0.93,,,,,,,,,2197.0,1939609.0,268.657,0.304,1918.0,0.266,0.026,39.0,tests performed,5921882.0,3279439.0,2557956.0,84487.0,,25109.0,82.02,45.42,35.43,1.17,3478.0,14146.0,0.196,,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,,,,
PER,South America,Peru,2021-11-27,2232749.0,1574.0,1410.0,201071.0,45.0,34.0,66930.101,47.183,42.267,6027.414,1.349,1.019,1.13,,,,,,,,,,,,,,,,,,39183058.0,21661388.0,17084235.0,437435.0,149015.0,161596.0,117.46,64.93,51.21,1.31,4844.0,83335.0,0.25,66.67,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,206166.9,87.89,10.72,6180.171
PHL,Asia,Philippines,2021-11-27,2831177.0,790.0,954.0,48205.0,188.0,186.0,25495.324,7.114,8.591,434.096,1.693,1.675,0.67,,,,,,,,,33271.0,22255160.0,200.412,0.3,39738.0,0.358,0.048,21.0,people tested,78528357.0,,43870322.0,,968013.0,823559.0,70.72,,39.51,,7416.0,,,,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,,,,
POL,Europe,Poland,2021-11-27,3487254.0,26188.0,22970.0,82986.0,379.0,315.0,92262.719,692.859,607.72,2195.571,10.027,8.334,1.21,,,16733.0,442.707,,,,,110915.0,24006731.0,635.149,2.934,87753.0,2.322,0.251,4.0,people tested,41536389.0,20807234.0,20398724.0,2728354.0,141095.0,137783.0,109.89,55.05,53.97,7.22,3645.0,26773.0,0.071,41.67,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,124084.0,15.84,24.96,3282.906
PRT,Europe,Portugal,2021-11-27,1139810.0,3364.0,2860.857,18405.0,12.0,13.571,112098.607,330.844,281.361,1810.104,1.18,1.335,1.38,89.0,8.753,597.0,58.714,,,77.03,7.576,71124.0,20915616.0,2057.02,6.995,55013.0,5.41,0.045,22.1,tests performed,16308391.0,9053901.0,8925907.0,1000000.0,,4321.0,160.39,89.04,87.78,9.83,425.0,1881.0,0.018,40.74,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,,,,
QAT,Asia,Qatar,2021-11-27,242979.0,155.0,144.286,611.0,0.0,0.0,82913.158,52.892,49.235,208.495,0.0,0.0,1.02,,,,,,,,,,,,,,,,,,4957916.0,,,,10592.0,6636.0,169.18,,,,2264.0,,,51.85,2930524.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,,,,
ROU,Europe,Romania,2021-11-27,1775572.0,1727.0,2115.286,56169.0,180.0,190.143,92826.912,90.288,110.587,2936.516,9.41,9.941,0.58,1573.0,82.236,,,,,,,,15916982.0,832.14,,40205.0,2.102,0.056,17.8,tests performed,14721122.0,7657261.0,7346689.0,,70583.0,67229.0,76.96,40.03,38.41,,3515.0,39612.0,0.207,53.7,19127772.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,,,,
RUS,Europe,Russia,2021-11-27,9370694.0,33119.0,33649.286,266337.0,1203.0,1206.571,64221.535,226.979,230.614,1825.326,8.245,8.269,0.94,,,,,,,,,370272.0,222989343.0,1528.245,2.538,580638.0,3.979,0.059,16.9,tests performed,125089189.0,66011769.0,55964877.0,4172664.0,689165.0,761372.0,85.73,45.24,38.36,2.86,5218.0,359318.0,0.246,38.43,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,,,,
RWA,Africa,Rwanda,2021-11-27,100325.0,14.0,16.857,1342.0,1.0,0.286,7556.575,1.054,1.27,101.081,0.075,0.022,0.94,,,,,,,,,12065.0,3419396.0,257.552,0.909,11463.0,0.863,0.001,680.0,samples tested,8748557.0,5744232.0,3004325.0,,,117452.0,65.89,43.27,22.63,,8847.0,83092.0,0.626,51.85,13276517.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,
KNA,North America,Saint Kitts and Nevis,2021-11-27,2779.0,2.0,2.143,28.0,0.0,0.0,51899.302,37.351,40.019,522.915,0.0,0.0,0.55,,,,,,,,,85.0,56279.0,1051.04,1.587,96.0,1.793,0.019,51.7,people tested,51414.0,26851.0,24563.0,,,77.0,96.02,50.15,45.87,,1438.0,91.0,0.17,,53546.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,,,,
LCA,North America,Saint Lucia,2021-11-27,12954.0,0.0,8.571,280.0,0.0,0.286,70249.077,0.0,46.483,1518.43,0.0,1.549,0.76,,,,,,,,,,,,,,,,,,100165.0,54167.0,45998.0,,237.0,238.0,54.32,29.37,24.94,,1291.0,98.0,0.053,,184401.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,,,,
VCT,North America,Saint Vincent and the Grenadines,2021-11-27,5500.0,0.0,15.571,74.0,0.0,0.143,49429.76,0.0,139.944,665.055,0.0,1.284,0.93,,,,,,,,,118.0,89747.0,806.577,1.06,137.0,1.231,0.125,8.0,tests performed,52736.0,30118.0,22009.0,,,207.0,47.4,27.07,19.78,,1860.0,124.0,0.111,,111269.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,,,,
WSM,Oceania,Samoa,2021-11-27,3.0,0.0,0.0,,,0.0,14.989,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,223504.0,137258.0,86246.0,,,827.0,111.67,68.58,43.09,,4132.0,542.0,0.271,,200144.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,,,,
SMR,Europe,San Marino,2021-11-27,5930.0,0.0,24.571,93.0,0.0,0.0,174360.482,0.0,722.477,2734.49,0.0,0.0,1.65,,,,,,,,,,,,,,,,,,47811.0,25433.0,22378.0,,,14.0,140.58,74.78,65.8,,412.0,11.0,0.032,37.96,34010.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,
STP,Africa,Sao Tome and Principe,2021-11-27,3731.0,0.0,0.0,56.0,0.0,0.0,16703.677,0.0,0.0,250.712,0.0,0.0,0.24,,,,,,,,,,,,,,,,,,114251.0,82256.0,31995.0,,,415.0,51.15,36.83,14.32,,1858.0,103.0,0.046,,223364.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,,,,
SAU,Asia,Saudi Arabia,2021-11-27,549671.0,29.0,32.571,8832.0,2.0,1.286,15553.492,0.821,0.922,249.91,0.057,0.036,0.91,,,,,,,,,24275.0,31055094.0,878.735,0.687,32573.0,0.922,0.001,863.7,tests performed,47293262.0,24576709.0,22370726.0,,27808.0,40003.0,133.82,69.54,63.3,,1132.0,12089.0,0.034,51.85,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,,,,
SEN,Africa,Senegal,2021-11-27,73981.0,6.0,2.286,1885.0,0.0,0.286,4302.144,0.349,0.133,109.617,0.0,0.017,0.92,,,,,,,,,1036.0,882793.0,51.336,0.06,982.0,0.057,0.002,528.8,tests performed,1908088.0,1319915.0,922233.0,,,1941.0,11.1,7.68,5.36,,113.0,1333.0,0.008,21.3,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,,
SRB,Europe,Serbia,2021-11-27,1248719.0,2211.0,2534.714,11537.0,53.0,53.0,181723.126,321.762,368.871,1678.952,7.713,7.713,0.76,212.0,30.688,4561.0,660.228,,,,,15631.0,6759262.0,983.659,2.275,15003.0,2.183,0.173,5.8,people tested,7779147.0,3248569.0,3098262.0,1432313.0,26486.0,27407.0,113.21,47.28,45.09,20.84,3988.0,3299.0,0.048,40.74,6871547.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,,,,
SYC,Africa,Seychelles,2021-11-27,23197.0,0.0,43.143,125.0,0.0,0.0,234526.337,0.0,436.183,1263.775,0.0,0.0,1.26,,,,,,,,,,,,,,,,,,178093.0,81867.0,77809.0,,,512.0,180.06,82.77,78.67,,5176.0,33.0,0.033,75.0,98910.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,,,,
SLE,Africa,Sierra Leone,2021-11-27,6401.0,0.0,0.143,121.0,0.0,0.0,786.234,0.0,0.018,14.862,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SGP,Asia,Singapore,2021-11-27,261636.0,1761.0,1588.286,690.0,6.0,5.143,47974.916,322.906,291.236,126.522,1.1,0.943,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,5453600.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,,,
SXM,North America,Sint Maarten (Dutch part),2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51432.0,26750.0,24682.0,,,40.0,118.45,61.61,56.84,,921.0,16.0,0.037,,43421.0,1209.088,,,,36327.232,,,,,,,,78.95,,,,,
SVK,Europe,Slovakia,2021-11-27,1143068.0,11862.0,11198.286,14228.0,51.0,58.571,209325.28,2172.239,2050.695,2605.514,9.339,10.726,1.2,271.0,49.627,3021.0,553.223,,,,,64439.0,44462696.0,8142.268,11.8,65174.0,11.935,0.169,5.9,tests performed,4959747.0,2618464.0,2341283.0,,2.0,6427.0,90.83,47.95,42.87,,1177.0,5447.0,0.1,34.72,5460726.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,
SVN,Europe,Slovenia,2021-11-27,415898.0,2234.0,2494.143,5165.0,23.0,17.286,200073.795,1074.698,1199.844,2484.699,11.064,8.316,0.9,265.0,127.482,1126.0,541.679,159.683,76.818,729.982,351.168,6523.0,1918245.0,922.8,3.138,6472.0,3.113,0.407,2.5,tests performed,2660204.0,1229116.0,1146403.0,284685.0,4059.0,9249.0,127.97,59.13,55.15,13.7,4449.0,1128.0,0.054,53.7,2078723.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,,,,
SLB,Oceania,Solomon Islands,2021-11-27,20.0,0.0,0.0,,,0.0,28.409,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,193817.0,150777.0,43040.0,,,1590.0,27.53,21.42,6.11,,2259.0,1056.0,0.15,27.78,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SOM,Africa,Somalia,2021-11-27,23016.0,0.0,6.714,1327.0,0.0,0.429,1406.889,0.0,0.41,81.115,0.0,0.026,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,
ZAF,Africa,South Africa,2021-11-27,2958548.0,6048.0,1541.0,89791.0,20.0,31.286,49274.644,100.729,25.665,1495.47,0.333,0.521,1.26,,,,,,,,,34880.0,19383834.0,322.838,0.581,41557.0,0.692,0.037,27.0,people tested,25238789.0,16994112.0,14267533.0,,127704.0,98255.0,42.04,28.3,23.76,,1636.0,57002.0,0.095,45.37,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,229475.6,23.3,11.83,3821.918
OWID_SAM,,South America,2021-11-27,38895253.0,18634.0,19345.0,1180488.0,385.0,388.286,89566.713,42.91,44.547,2718.389,0.887,0.894,,,,,,,,,,,,,,,,,,,569725551.0,312049595.0,244695962.0,24558622.0,527793.0,515352.0,131.19,71.86,56.35,5.66,1187.0,214275.0,0.049,,434260137.0,,,,,,,,,,,,,,,,,,
KOR,Asia,South Korea,2021-11-27,440896.0,3928.0,3638.714,3548.0,56.0,39.143,8593.596,76.561,70.923,69.155,1.092,0.763,1.23,,,,,,,,,,,,,,,,,,84591947.0,42475901.0,40852206.0,2762420.0,423138.0,232872.0,164.88,82.79,79.63,5.38,4539.0,36681.0,0.071,39.35,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
SSD,Africa,South Sudan,2021-11-27,12717.0,0.0,11.286,133.0,0.0,0.0,1117.352,0.0,0.992,11.686,0.0,0.0,1.12,,,,,,,,,,,,,,,,,,218154.0,185148.0,133315.0,,,4779.0,1.92,1.63,1.17,,420.0,7165.0,0.063,35.19,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,,,,
ESP,Europe,Spain,2021-11-27,5131012.0,0.0,7192.714,87955.0,0.0,20.714,109765.512,0.0,153.871,1881.583,0.0,0.443,1.51,458.0,9.798,2398.0,51.299,59.255,1.268,977.714,20.916,,63621322.0,1361.023,,90638.0,1.939,0.049,20.3,tests performed,76026523.0,38288327.0,37582174.0,4567312.0,453367.0,191801.0,162.64,81.91,80.4,9.77,4103.0,11232.0,0.024,41.2,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,
LKA,Asia,Sri Lanka,2021-11-27,561778.0,719.0,835.571,14278.0,20.0,24.286,26132.484,33.446,38.869,664.176,0.93,1.13,1.08,,,,,,,,,6437.0,5631989.0,261.986,0.299,6459.0,0.3,0.129,7.7,tests performed,29644331.0,15919195.0,13725136.0,,2918.0,8024.0,137.9,74.05,63.85,,373.0,3115.0,0.014,52.78,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,,,,
SDN,Africa,Sudan,2021-11-27,42056.0,0.0,71.143,3114.0,0.0,2.143,936.464,0.0,1.584,69.34,0.0,0.048,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,,
